zm_r,vb
0.842928905,1
0.379615364,1
0.397346212,1
1.039785996,1
0.968351832,1
0.644878776,1
1.043202467,1
0.241089803,1
0.241002166,1
1.217608459,1
1.11708041,1
0.68490431,1
0.590906959,1
0.229278971,1
0.460875362,1
0.705792575,1
0.60920121,1
1.555232665,1
0.814208152,1
0.348061141,1
0.552171221,1
0.928425118,1
0.462173145,1
1.785166547,1
1.143192932,1
0.85922627,1
0.799065874,1
0.613268238,1
0.949085982,1
0.855575088,1
0.420183472,1
0.770076831,1
0.820182738,1
0.883157736,1
0.421033612,1
0.540065788,1
0.517165612,1
1.005372985,1
0.72527117,1
1.660239868,1
0.255067514,1
0.458082331,1
0.653841649,1
2.023028901,1
0.926043465,1
1.904467379,1
1.165701732,1
0.465710602,1
0.738418415,1
0.585895188,1
0.87681299,1
1.018370368,1
0.671710568,1
0.815429859,1
0.772583771,1
0.892637962,1
1.55503112,1
0.695361605,1
1.233862946,1
1.557088507,1
0.652839936,1
1.303857898,1
1.758225708,1
1.025012172,1
0.902852537,1
0.325347247,1
0.316718014,1
0.542165805,1
0.761831677,1
1.082283641,1
0.523933395,1
0.82828024,1
0.61953271,1
0.558567369,1
0.581062233,1
1.010410596,1
0.255106686,1
1.261037467,1
0.596307739,1
0.658241962,1
0.831290967,1
1.110997063,1
0.780958203,1
0.350275946,1
1.64510472,1
0.747609264,1
0.598606668,1
0.743611526,1
1.040681841,1
0.74046393,1
0.946943813,1
0.771950213,1
0.495918243,1
0.54417264,1
0.305757088,1
0.632730482,1
0.537547413,1
0.611399417,1
0.583272062,1
1.836956417,1
0.90819165,1
0.295458,1
0.970687187,1
0.480313303,1
0.786047908,1
0.45683655,1
0.434986129,1
0.330945403,1
0.405768362,1
0.526915705,1
0.268586928,1
0.45429673,1
0.808377642,1
1.09851404,1
1.031966127,1
1.282760804,1
0.850285774,1
0.902505206,1
1.679303336,1
0.434112615,1
0.53512714,1
0.693807984,1
0.600999405,1
0.605658463,1
1.161886568,1
0.664401655,1
0.715178199,1
1.21783112,1
0.586155273,1
0.524793621,1
0.481479224,1
0.606339997,1
0.77631357,1
0.408463505,1
0.89851092,1
0.568989232,1
0.527790892,1
0.796030043,1
1.192751097,1
0.640641962,1
0.870857055,1
0.851062512,1
2.739894057,1
0.61968986,1
0.162953152,1
0.905528957,1
1.519890095,1
0.326867294,1
0.696008232,1
0.688618522,1
1.307559515,1
1.712561668,1
0.682474996,1
0.7842089,1
1.200228769,1
0.663244931,1
0.694766098,1
0.275150038,1
0.580175387,1
0.288385302,1
1.80489657,1
0.675723632,1
0.865675841,1
1.502611524,1
0.784184816,1
0.773646725,1
0.400412303,1
0.5896941,1
0.255067514,1
1.0796992,1
0.577886595,1
0.811850832,1
0.880279094,1
0.133872389,1
1.141951592,1
0.614632222,1
0.597612633,1
0.55174378,1
0.673080925,1
0.641548445,1
0.509095793,1
0.598461334,1
0.255946682,1
1.064277428,1
1.150164217,1
0.541793522,1
0.455919845,1
1.14256358,1
0.940678176,1
1.502253843,1
1.221607393,1
1.853137652,1
0.684326797,1
1.914283408,1
1.240362639,1
0.838159103,1
1.091046171,1
1.50080286,1
0.400902606,1
0.900515367,1
0.588387293,1
0.980580038,1
1.051842597,1
0.544724861,1
0.391205087,1
1.111881042,1
0.650121919,1
0.845735846,1
0.344963287,1
0.747312927,1
2.069320313,1
1.386351878,1
0.559071967,1
0.592909538,1
0.588821113,1
0.486148875,1
0.483171114,1
0.45415212,1
0.454589211,1
1.840161102,1
0.926599755,1
0.67313834,1
1.365851834,1
1.209147796,1
0.646844402,1
0.429760881,1
0.519648117,1
0.446664209,1
0.286031058,1
0.803928074,1
0.330346538,1
1.416457568,1
0.839133291,1
0.46357427,1
0.776659812,1
0.556273214,1
0.345349749,1
0.4334301,1
0.667114268,1
0.737229034,1
0.924383168,1
0.762888069,1
0.281648016,1
0.688649626,1
1.001521573,1
0.976285829,1
0.603810945,1
1.165058489,1
0.666541794,1
0.871366519,1
1.009907064,1
0.774780244,1
1.195552784,1
0.767543269,1
0.606635921,1
0.783707223,1
0.393706791,1
0.670629386,1
0.654265057,1
0.574162502,1
0.713021268,1
1.017631327,1
0.812582381,1
0.764871023,1
0.474421101,1
0.151982433,1
0.752978142,1
