Filter_Stage,Pressure,Min,Max,Mean,Median,Mode,Variance,Skewness,Kurtosis,perc_2,perc_5,perc_20,perc_80,perc_95,perc_98,Range
0,6,5.704389748,9.421262135,6.378255169,5.833195034,5.833182467,1.634266459,1.913185054,1.675746064,5.802526184,5.808659954,5.820925552,5.851592461,9.39979491,9.408994595,3.716872387
0,6,5.744258282,9.439661503,6.962461414,5.833195034,5.825423931,2.765344207,0.777937133,-1.393312606,5.796392414,5.802526184,5.817859638,9.396727055,9.415739994,9.424328049,3.695403221
0,6,5.765725506,9.504063175,8.690289362,9.461128727,9.466624722,2.192730598,-1.397724042,-0.042709264,5.827057381,5.836259007,5.869995712,9.473394325,9.485663807,9.491797577,3.738337669
0,8,5.934395443,11.3502328,6.888919588,6.029465965,6.029571395,3.781544337,1.806304995,1.278247748,5.986527634,5.995729259,6.011062714,6.050931248,11.31649804,11.32569772,5.415837357
0,8,5.949730839,11.38089777,7.698646715,6.050931248,6.048957365,6.001478358,0.805755569,-1.345892313,6.011062714,6.017196484,6.032529938,11.33796526,11.35636463,11.36556625,5.431166927
0,8,6.087729984,11.5066352,10.3439761,11.45756698,11.4587235,4.66685297,-1.427777944,0.047126823,6.112265064,6.124530663,6.161331341,11.46983452,11.48516797,11.49436766,5.418905212
1,6,6.142933914,9.721801331,6.797112297,6.271735317,6.272761498,1.516323281,1.903501736,1.630068209,6.234934639,6.244134323,6.256399921,6.296270397,9.681932796,9.692176833,3.578867416
1,6,6.145997887,9.724867245,7.291337861,6.238002495,6.229969761,2.536174944,0.832855818,-1.304488146,6.197090268,6.204265789,6.222667099,9.678866882,9.703400021,9.709533791,3.578869358
1,6,6,9.807668285,9.068948786,9.749402325,9.756070875,1.876574069,-1.509247338,0.286125556,6.293202541,6.302402225,9.085148626,9.764733837,9.777001377,9.783135147,3.807668285
1,6,6.268667461,9.773935463,6.86531245,6.33000322,6.327772505,1.53528387,1.871706934,1.512995203,6.296270397,6.302402225,6.317737621,6.351470444,9.746334469,9.752468239,3.505268002
1,6,6.167465111,9.780069233,7.379829577,6.314669765,6.301719728,2.520357068,0.804574528,-1.349552273,6.274803173,6.284000916,6.29933437,9.731001015,9.752468239,9.758602009,3.612604122
