v,b,kurtosis,sd,crest,95p_T,mn_T,label
1000,1,-1.36,4.7089,1.421244835,22.75,22.11665036,0
40,20,-1.45,4.9284,1.420359005,22.25,21.39769075,0
1000,1,-1.44,3.9204,1.39859008,27.59375,24.55890162,0
40,20,-1.39,4.6225,1.384291167,23.76875,22.67315889,0
1000,1,-1.57,3.8025,1.542075483,32.28125,31.26422234,1
1000,1,-1.53,3.6864,1.699363234,33.4375,29.75262605,1
40,20,-1.35,4.6225,1.710723648,27.625,26.79248183,1
40,20,-1.42,4.7524,1.608954891,27.25,22.7628111,1
1000,1,-1.4,4.1209,1.55880963,25.9375,21.81996295,0
40,20,-1.32,4.4944,1.39859008,26.75,25.39952487,0
1000,1,-1.45,4.41,1.479369217,24.5,22.80921604,0
40,20,-1.36,4.7089,1.420359005,25.1875,24.18477501,0
